Turn,atk1,def+,def-,def_theory
0,1000,1000,1000,1000
1,855,660,1446,1039
2,763,332,1975,930
3,757,117,2503,623
4,787,48,2875,290
5,895,22,2997,86
6,1005,7,2954,34
7,1133,2,2851,14
8,1283,1,2713,3
9,1417,2,2581,
10,1606,,2394,
11,1805,,2195,
12,1980,,2020,
13,2192,,1808,
14,2390,,1610,
15,2633,,1367,
16,2811,,1189,
17,2946,,1054,
18,3080,,920,
19,3229,,771,
20,3297,,703,
21,3381,,619,
22,3477,,523,
23,3549,,451,
24,3616,,384,
25,3677,,323,
26,3732,,268,
27,3752,,248,
28,3809,,191,
29,3831,,169,
30,3855,,145,
31,3874,,126,
32,3898,,102,
33,3933,,67,
34,3952,,48,
35,3956,,44,
36,3962,,38,
37,3973,,27,
38,3973,,27,
39,3982,,18,
40,3985,,15,
41,3982,,18,
42,3982,,18,
43,3983,,17,
44,3982,,18,
45,3984,,16,
46,3987,,13,
47,3994,,6,
48,3997,,3,
49,3995,,5,
50,3993,,7,
51,3995,,5,
52,3998,,2,
53,4000,,,
